username,rating,text,date,ct,company
"{'name': 'deepthi duggineni', 'link': 'https://www.google.com/maps/contrib/117520243256774470764?hl=en-US', 'contributor_id': '117520243256774470764', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKwRWr0khtjPM5LIUUNeKw795Bg0okcErsOMvHkBCe0Ndw3pA=s120-c-rp-mo-br100', 'reviews': 9, 'photos': 1}",5.0,Velocious Solution started by great leadership and vision has achieved many successful milestones within a short span since its start. Guru Nadella is very talented and hardworking who started the company with great scope of expansion with many services. He /his company kept the client at the heart of everything they do and for them it is always Customer First!and they strive their best to give best to their clients.HR and requirement services showcases the company's culture to give opportunities to the talented and train them and not follow a traditional approach of hiring only experienced. Thier emphasis on teamwork is the core value of their culture and is the driving factor of their success.They scaled up so fast as they try to bring in lot of innovation into their work. A company with great culture and leadership has the potential to grow incredibly much bigger!!!,11 months ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'Amarnath Vuppala', 'link': 'https://www.google.com/maps/contrib/110992751703925570158?hl=en-US', 'contributor_id': '110992751703925570158', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXDlNJ3-WqYuyuJGHlcce5Dj0N6oDMYW_0CRGHQyMHdHKEk0RO9=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5.0,"Velocious Solutions delivers exceptional service with professionalism and expertise. Their team is responsive, reliable, and dedicated to exceeding client expectations.

One of the things that sets Velocious Solutions apart is their unwavering dedication to understanding and meeting the unique needs of their clients. They take the time to listen carefully, analyze requirements thoroughly, and then deliver tailored solutions that exceed expectations.

Highly recommend for any project or service needs!",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'somasekhar vedantam', 'link': 'https://www.google.com/maps/contrib/118316596024481054601?hl=en-US', 'contributor_id': '118316596024481054601', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW7C71sjf_SPRzOgMy2c8l6xJ3CcNz7AzkwaARyYR1FNYD2Na3Q=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5.0,"Guru is a wonderful individual to work with. He will start working with you, sitting on your side. One would forget a service provider/client relationship, instead it is like working with your own team. He and his team are methodical and support well. Icing on the cake is his flexibility and willingness to go extra mile to the client's benefit. Excellent engagement.  Best wishes.",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'Yash Deep', 'link': 'https://www.google.com/maps/contrib/118136638190999764078?hl=en-US', 'contributor_id': '118136638190999764078', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVH7z2fT_bPIIv54oLl_45Lmx5sF6FX8MVQKsWQ67G2ap0kMyZ1=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 8, 'photos': 0}",5.0,"I am very satisfied to have worked with Velocious Solutions for my HR and Recruitment needs. The recruitment experience was smooth, swift and responsive. I was able to get high quality candidates in minimum possible time. Everyone I dealt with was cooperative and pro active. I would highly recommend Velocious solutions for all your HR and recruitmwnt needs.",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'Ramakrishna Naisa', 'link': 'https://www.google.com/maps/contrib/105288094192178365118?hl=en-US', 'contributor_id': '105288094192178365118', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXvyft_k-GHT_1j5CZfwcFqIS8fFb90UNhAN8SPpuQbvq6p9CU3Dg=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 8, 'photos': 5}",5.0,"Guru is very inspirational and a great manager for having confidence in his team.
He is always in a positive mood, which encourages the team to have a positive attitude and complete the project on time.
Employee enjoy working with Guru",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'keerthik lankipalli', 'link': 'https://www.google.com/maps/contrib/117212389644527249014?hl=en-US', 'contributor_id': '117212389644527249014', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJ8tsEvRIGGkjZ0sieLyAo96mdCJqRyUxqsOp0Bd-lzekKQpg=s120-c-rp-mo-br100', 'reviews': 5, 'photos': 0}",5.0,"For the past two years, our company has embarked on a transformative journey with Velocious Solutions as our trusted partner. Their product delivery has not only met our expectations, but has consistently exceeded them, exceeding not only the initial product but also with exceptional continuous support..",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'Sivakumar Kottapalli', 'link': 'https://www.google.com/maps/contrib/105945837096300218128?hl=en-US', 'contributor_id': '105945837096300218128', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIDvkKLfxNWLYlTGPgs0PbbkVFMBtyPcW9HqFSAxLvVjZLICQ=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5.0,Client friendly. Project overheads and other details were explained before hand leaving no space for ambiguity. Guru Nadella proves to be a good leader. Overall good service.,a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'Kowshal Kumar K', 'link': 'https://www.google.com/maps/contrib/116983976815704048416?hl=en-US', 'contributor_id': '116983976815704048416', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocIiZPPmDnIPUHr6VeTQ5M3adUNxD2XUVdoqtYLAN1kkIkNzChcB=s120-c-rp-mo-ba5-br100', 'local_guide': True, 'reviews': 90, 'photos': 650}",5.0,"I recently engaged with Velocious Solutions for their management consulting services, and the experience exceeded my expectations. The team demonstrated an unparalleled level of expertise, professionalism, and commitment throughout the entire process.",a year ago,Hyderabad,Velocious Solutions Pvt. Ltd. | Best Software Company in Hyderabad | Top IT Services Provider
"{'name': 'akshita goel', 'link': 'https://www.google.com/maps/contrib/111594815990479283435?hl=en-US', 'contributor_id': '111594815990479283435', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJ0ZO8a1dgExtpC47oVvZ2-rZ5g3ChcxKiIGaGzLz2C5TJt3g=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"It's a wonderful experience working with Spark Infosys, we are truly satisfied with the services provided by them. They are good in both Dynamic and Static website design and development. I would recommend Spark Infosys for all new startups as well as existing web based businesses.",4 years ago,Hyderabad,Spark Infosys
"{'name': 'lohitha Munireddugari', 'link': 'https://www.google.com/maps/contrib/102615286602076959859?hl=en-US', 'contributor_id': '102615286602076959859', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocL_kHZ0Pj63nlEOEM3dgRaPKdc8voI0J7XTmcMjF_jKaokSfg=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5.0,I proudly say that Spark Infosys is one of the best web development company in Hyderabad. I started my carrier as a fresher in this company. They will give the opportunity to work on complex issues. So now I am very happy to say that I gained more technical and logical skills.,6 years ago,Hyderabad,Spark Infosys
"{'name': 'mohan bukya', 'link': 'https://www.google.com/maps/contrib/106669602035403866243?hl=en-US', 'contributor_id': '106669602035403866243', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWuSIwfdvQoqDOYaHu5y1q8aP2FjSLI-mmrs3GwqnQ__vvqGf7z=s120-c-rp-mo-br100', 'reviews': 2, 'photos': 0}",5.0,I've worked with Spark Infosys on several projects over the past 4 years. Each experience has been very good and I feel fortunate that I found them early on. Communication with their team was excellent and they were very patient when aspects of the project changed,3 years ago,Hyderabad,Spark Infosys
